Datetime,AQI
2024-04-20,86.0
2024-04-21,93.0
2024-04-22,85.0
2024-04-23,93.0
2024-04-24,87.0
2024-04-25,88.0
2024-04-26,89.0
2024-04-27,78.0
2024-04-28,80.0
2024-04-29,75.0
2024-04-30,76.0
2024-05-01,96.0
2024-05-02,102.0
2024-05-03,95.0
2024-05-04,108.0
2024-05-05,90.0
2024-05-06,88.0
2024-05-07,99.0
2024-05-08,100.0
2024-05-09,93.0
2024-05-10,91.0
2024-05-11,90.0
2024-05-12,85.0
2024-05-13,93.0
2024-05-14,94.0
2024-05-15,99.0
2024-05-16,98.0
2024-05-17,82.0
2024-05-18,98.0
2024-05-19,83.0
2024-05-20,85.0
2024-05-21,84.0
2024-05-22,78.0
2024-05-23,100.0
2024-05-24,84.0
2024-05-25,83.0
2024-05-26,80.0
2024-05-27,81.0
2024-05-28,95.0
2024-05-29,99.0
2024-05-30,90.0
2024-05-31,84.0
2024-06-01,84.0
2024-06-02,81.0
2024-06-03,80.0
2024-06-04,83.0
2024-06-05,83.0
2024-06-06,79.0
2024-06-07,80.0
2024-06-08,84.0
2024-06-09,81.0
2024-06-10,84.0
2024-06-11,83.0
2024-06-12,84.0
2024-06-13,86.0
2024-06-14,77.0
2024-06-15,81.0
2024-06-16,94.0
2024-06-17,82.0
2024-06-18,70.0
2024-06-19,74.0
2024-06-20,78.0
2024-06-21,81.0
2024-06-22,83.0
